,solution (All),solutions (All),pedant (All),pedants (All),vegetable (All),vegetables (All),datum (All),data (All)
25,0.00011555004914498568,4.529453156822325e-05,1.5996524728643739e-07,8.810264416427215e-08,1.278503079049642e-05,1.7909224940889805e-05,1.9334106795554362e-06,0.0003683931931846019
26,0.00011362268147812366,4.4959089214963956e-05,1.5908788018683036e-07,8.664309384239946e-08,1.2764687003904587e-05,1.8098841232066274e-05,1.928812834149442e-06,0.0003634691415105148
27,0.00011193122876258191,4.4788056405715384e-05,1.621904304035685e-07,8.168960022710995e-08,1.2797532505715024e-05,1.8270088655672873e-05,1.8677876893389924e-06,0.00036258576587247906
28,0.00011095491504420352,4.4705064267093674e-05,1.645733091233075e-07,8.041022019662186e-08,1.2644360428534386e-05,1.8172950441502117e-05,1.8204287291569341e-06,0.0003628993040690278
29,0.00010879645505415933,4.440386419446441e-05,1.645646216281398e-07,7.820903746846852e-08,1.2416611909316089e-05,1.8393502959465226e-05,1.722015752595293e-06,0.00036696940284335663
30,0.00010650281184812878,4.374892703903502e-05,1.8024984275008142e-07,7.78503129897753e-08,1.2157724691113409e-05,1.8234392726412807e-05,1.7095231620142419e-06,0.0003698617202059852
31,0.00010316305388511995,4.253062740693687e-05,1.8414621995508996e-07,8.269459326827797e-08,1.1796432102885645e-05,1.793782742660304e-05,1.6653422125756379e-06,0.0003606822786618328
32,0.000100073699562537,4.148567407469273e-05,1.8899189854363184e-07,8.203162822033912e-08,1.1563896208599544e-05,1.774585610446268e-05,1.5932472257063068e-06,0.0003525375644975222
33,9.725423834489837e-05,4.034788172394396e-05,1.9955682103603832e-07,8.520485954883432e-08,1.1418331865797882e-05,1.763438057115049e-05,1.5937739974753688e-06,0.00034122109455633363
34,9.368600836166608e-05,3.9062749993133495e-05,2.0929102698527148e-07,8.934001950931605e-08,1.1247434837205869e-05,1.7378422790719537e-05,1.5737274519724207e-06,0.00032968868900492713
35,8.972170092290201e-05,3.639425523260798e-05,2.506788600824856e-07,1.1009143279545291e-07,1.1360131239257498e-05,1.7059528238811644e-05,1.4892457428520143e-06,0.0003023926548654085
36,8.56380141190779e-05,3.37449913294969e-05,2.9657767759110646e-07,1.4156222105654592e-07,1.1510853425988898e-05,1.64741956731567e-05,1.457164460459483e-06,0.0002720991696410887
37,7.165424275561754e-05,2.8048376267163026e-05,2.5912878382732577e-07,1.2889484901634773e-07,9.817156367830648e-06,1.3925231004106666e-05,1.21612977237768e-06,0.00021966525952978245
38,6.866128237940454e-05,2.6707925402528567e-05,2.6618548136051834e-07,1.3230404527497797e-07,9.644644957044571e-06,1.3440479567824088e-05,1.1618447848249502e-06,0.0002066792779563305
39,6.41955901073743e-05,2.437391399610078e-05,2.8068728470387326e-07,1.4085601902635857e-07,9.372821961051158e-06,1.2669579078306015e-05,1.0733711027555159e-06,0.00018640142998265218
40,5.789116306686992e-05,2.1089708756250047e-05,2.9450597438529513e-07,1.5158461141862034e-07,8.980057788932072e-06,1.158737917705821e-05,9.255306461231072e-07,0.0001601471151388978
